"Brand","Model","Model_year","Mileage","Horsepower","Accident","Price"
"Ford","Utility Police Interceptor Base",2013,51000,300,1,10300
"Hyundai","Palisade SEL",2021,34742,NA,1,38005
"Lexus","RX 350 RX 350",2022,22372,NA,0,54598
"INFINITI","Q50 Hybrid Sport",2015,88900,354,0,15500
"Audi","Q3 45 S line Premium Plus",2021,9835,NA,0,34999
"Acura","ILX 2.4L",2016,136397,NA,0,14798
"Audi","S3 2.0T Premium Plus",2017,84000,292,0,31000
"BMW","740 iL",2001,242000,282,0,7300
"Lexus","RC 350 F Sport",2021,23436,311,0,41927
"Tesla","Model X Long Range Plus",2020,34000,534,0,69950
"Land","Rover Range Rover Sport 3.0 Supercharged HST",2021,27608,NA,0,73897
"Aston","Martin DBS Superleggera",2019,22770,715,0,184606
"Toyota","Supra 3.0 Premium",2021,12500,382,0,53500
"Lincoln","Aviator Reserve AWD",2022,18196,400,0,62000
"Jaguar","F-TYPE",2020,15903,NA,0,47998
"Land","Rover LR4 HSE",2013,79800,375,0,29990
"Mercedes-Benz","Metris Base",2021,1685,NA,0,250000
"Dodge","Challenger SXT",2013,61074,305,0,16800
"Nissan","350Z Enthusiast",2003,74000,287,0,11000
"Jaguar","F-TYPE R",2018,35250,550,0,68750
"Genesis","GV70 3.5T Sport",2023,5400,375,NA,60000
"Chevrolet","S-10 LS",2000,133510,120,0,4500
"BMW","440 Gran Coupe 440i xDrive",2020,25990,NA,0,38598
"Ford","F-150 XLT",2023,2823,NA,0,58504
"Chevrolet","Suburban RST",2021,52000,355,0,61000
"Hyundai","Elantra N Base",2022,11650,276,0,32300
"Nissan","Sentra SR",2016,96541,NA,0,13998
"Mercedes-Benz","AMG CLA 45 Base 4MATIC",2021,17500,382,0,59995
"BMW","650 Gran Coupe i xDrive",2015,69000,445,0,25700
"Audi","Q5 2.0T Premium Plus",2017,81880,NA,0,21375
"Mercedes-Benz","AMG C 43 Base 4MATIC",2018,28800,362,0,48000
"Dodge","Ram 1500 Laramie Mega Cab",2006,300183,345,1,10900
"BMW","i3 120Ah w/Range Extender",2020,35035,NA,0,24998
"Kia","Sorento SX",2011,171000,276,0,5999
"Lexus","LX 570 Base",2016,118700,383,0,46900
"Jeep","New Compass Trailhawk",2017,119000,180,0,15900
"BMW","340 i",2018,44261,NA,0,33598
"Audi","A4 2.0T Premium Plus quattro",2012,125575,211,0,8999
"Hyundai","Tucson SE",2007,16200,173,0,8200
"BMW","Z4 sDrive28i",2014,70000,240,1,20000
"Bentley","Continental GTC Base",2011,20200,552,0,79950
"Honda","Passport Elite",2023,2978,NA,0,45498
"Dodge","Sprinter 2500",2007,189719,NA,1,14000
"BMW","M850 i xDrive",2019,9949,NA,0,75798
"Lucid","Air Grand Touring",2022,3552,536,0,119999
"Audi","A7 Premium",2012,54000,310,1,36880
"Chevrolet","Silverado 1500 Custom Trail Boss",2021,51351,NA,0,43147
"MINI","Convertible John Cooper Works",2017,24280,228,1,29000
"Toyota","Avalon Touring",2016,89148,268,0,17500
"Porsche","Cayenne Platinum Edition",2017,73043,300,0,30990
"Mercedes-Benz","AMG C 63 S",2017,60000,503,1,52500
"Honda","CR-V EX-L",2016,73549,NA,1,20848
"Hummer","H2 Base",2005,110900,325,0,19500
"Porsche","911 Carrera S",2013,39000,400,0,73000
"Mercedes-Benz","CLA-Class CLA 250",2016,120000,208,0,19800
"Chrysler","300 Touring",2009,134602,250,0,7500
"Nissan","Rogue SV",2023,1094,NA,0,30999
"Audi","A3 2.0T",2010,83500,200,0,6500
"Ford","Mustang GT Premium",2014,37060,420,0,28500
"Acura","RL Technology",2010,97700,300,0,10995
"Volvo","XC90 Hybrid T8 R-Design",2018,40000,400,0,42000
"Audi","R8 5.2 V10",2018,8940,NA,0,144900
"Mercedes-Benz","GLK-Class GLK 350",2014,186000,302,1,10000
"Toyota","C-HR LE",2021,13180,NA,0,23998
"Lexus","IS 350 Base",2014,104000,306,0,21000
"BMW","X4 M40i",2023,8500,382,0,67900
"BMW","M4 CS",2019,19069,NA,0,69998
"Cadillac","CT5 Premium Luxury",2023,6090,237,0,46900
"Lucid","Air Grand Touring",2022,4900,536,0,99000
"Audi","A5 2.0T Premium Plus",2019,47523,248,0,31000
"Chrysler","300C SRT8",2006,43000,425,1,19995
"Bentley","Continental GT W12",2017,14684,582,0,130000
"BMW","M4 Base",2019,57800,425,0,55999
"Toyota","GR Corolla Circuit Edition",2023,952,300,0,49950
"Audi","RS 5 2.9T",2019,21240,444,1,59950
"Porsche","Cayenne Base",2019,59338,335,0,42499
"Lamborghini","Huracan Tecnica Coupe",2023,255,NA,0,359991
"Maserati","Quattroporte S",2019,23230,424,0,44999
"Jaguar","XF 35t R-Sport",2017,48000,340,1,30000
"Lexus","ES 330 Base",2005,41059,225,0,11100
"Land","Rover Discovery Sport SE R-Dynamic",2020,21240,NA,0,37998
"Porsche","Cayman GTS",2015,11500,340,0,72000
"Genesis","G90 3.3T Premium",2021,9950,365,0,53950
"Volkswagen","Golf R 20th Anniversary Edition",2023,633,315,0,47999
"Hyundai","Sonata Hybrid Limited",2015,66000,199,1,15900
"Audi","RS 7 4.0T Prestige",2014,59715,560,1,45000
"BMW","740 Li",2012,85252,326,0,18500
"Mercedes-Benz","GLS 450 Base 4MATIC",2020,17900,362,1,80000
"BMW","M6 Base",2016,25500,560,0,55000
"Subaru","Forester 2.5 X",2004,210703,165,NA,2300
"Hyundai","Elantra N Base",2023,3800,276,0,34000
"Kia","Niro Plug-In Hybrid EX Premium",2022,36602,NA,0,31995
"Rivian","R1S Adventure Package",2023,2800,835,0,92000
"Aston","Martin DBS Superleggera",2021,2165,NA,0,279950
"Mercedes-Benz","SLC 300 Base",2018,33000,241,1,29900
"BMW","435 Gran Coupe i",2016,76009,300,0,24950
"Jeep","Grand Cherokee Summit",2020,31349,NA,0,39366
"Lexus","RC 350 Base",2015,48000,306,0,32900
"BMW","525 i",2005,91420,215,0,8900
"Toyota","Corolla LE",2003,124756,130,1,4995
"Cadillac","CT5-V Blackwing",2023,2415,NA,0,104900
"GMC","Acadia SLT-1",2012,116226,288,0,7900
"Lexus","LC 500 Base",2020,37869,NA,0,75950
"BMW","i8 Base",2019,41500,369,0,86000
"Lexus","ES 300h Base",2013,87001,200,0,17995
"Cadillac","CT5-V V-Series",2022,4451,NA,1,55655
"BMW","540 i xDrive",2020,27158,NA,0,39998
"Chevrolet","Express 1500 Work Van",2014,139804,195,1,14500
"Jeep","Gladiator Rubicon",2022,27300,285,0,47500
"BMW","Z4 sDrive28i",2014,36812,240,0,27000
"Land","Rover LR4 HSE LUX Landmark Edition",2016,144000,340,1,18000
"Cadillac","XT4 Sport",2019,44500,237,0,28900
"BMW","750 750i xDrive",2021,10917,NA,0,73998
"Bentley","Arnage R",2005,8332,400,0,47350
"Lincoln","Aviator Reserve AWD",2020,51247,NA,0,47698
"Mercedes-Benz","AMG GL AMG GL 63 4MATIC",2016,69000,550,0,36500
"RAM","ProMaster 3500 High Roof",2021,147834,NA,0,32662
"Ford","Utility Police Interceptor Base",2013,105000,300,1,6600
"Audi","A5 2.0T Premium",2011,92203,211,0,9995
"Nissan","GT-R Premium",2010,15600,485,0,69500
"Land","Rover Range Rover Sport 3.0L Supercharged HSE",2018,104700,NA,1,30775
"Toyota","Corolla LE",2010,72348,132,1,9995
"Rivian","R1S Adventure Package",2023,2500,835,0,94000
"Mercedes-Benz","C-Class C300 4MATIC",2022,13177,NA,0,44798
"Porsche","Cayenne E-Hybrid S",2016,96000,416,1,23000
"Chevrolet","Express 1500 Work Van",2011,93009,NA,0,22495
"INFINITI","Q70h Base",2016,52750,360,1,28998
"Audi","A7 Premium Plus",2020,25361,NA,0,49998
"Audi","Q7 3.0T Premium Plus",2015,98527,280,NA,9995
"Lucid","Air Pure",2023,1300,620,NA,86900
"Chrysler","Pacifica Touring",2017,87305,NA,0,9000
"Audi","TTS 2.0T Premium Plus",2012,72922,265,NA,25999
"BMW","650 Gran Coupe i xDrive",2015,41000,445,0,30000
"Subaru","Forester Premium",2021,42125,NA,0,27899
"Mercedes-Benz","AMG C AMG C 63",2016,62000,469,0,40000
"Land","Rover LR3 HSE",2006,153843,300,1,9950
"BMW","X7 xDrive40i",2019,35248,NA,0,53998
"Ford","Transit Connect XLT",2015,194454,169,0,9888
"Lexus","LX 570 Three-Row",2021,21000,383,0,89999
"Porsche","911 Carrera S",2013,18494,400,NA,86900
"Dodge","Ram 2500 Laramie Quad Cab",2006,218000,330,0,12990
"Nissan","Armada SL",2021,67800,400,1,36500
"Porsche","Cayman Base",2014,79000,275,1,42999
"Mercedes-Benz","GLE 450 GLE 450",2022,24906,NA,0,63998
"Chevrolet","Monte Carlo SS",2006,66840,303,1,12000
"BMW","M5 Base",2013,86000,560,0,32000
"Hyundai","Kona N Base",2023,654,NA,0,34599
"Chevrolet","Monte Carlo SS",2005,75000,240,0,12500
"Land","Rover Range Rover Evoque Pure",2015,84000,240,1,22800
"Audi","S7 4.0T Premium Plus",2017,52500,450,0,39999
"GMC","Acadia SLT-1",2011,120000,288,0,7500
"Alfa","Romeo Stelvio Ti Sport",2020,18665,NA,0,35645
"Ferrari","FF Base",2016,19987,651,0,149900
"Kia","K900 5.0L",2017,36486,420,1,23950
"Ford","E150 XLT",2013,162100,255,0,12500
"Tesla","Model 3 Performance",2022,13079,455,0,47000
"Toyota","4Runner SR5",2022,28377,NA,0,36999
"Subaru","Forester Base",2020,32744,182,0,24000
"Porsche","Panamera 2",2012,54000,300,1,26000
"Toyota","Tacoma PreRunner",2008,202055,236,1,8500
"RAM","2500 Laramie",2019,65000,370,0,65000
"Kia","Sportage Nightfall",2022,9686,NA,0,30990
"Cadillac","DTS Base",2010,49620,275,0,10499
"Toyota","Land Cruiser Base",1997,213000,212,0,26500
"Nissan","GT-R Premium",2020,16010,565,0,114000
"Lexus","NX 350 F SPORT Handling",2023,820,NA,0,51998
"Audi","Q7 45 Premium Plus",2021,68000,248,0,36499
"Lexus","LX 470 Base",1999,82000,230,0,25000
"GMC","Terrain SLE",2022,27352,NA,0,27785
"Ford","Escape Limited",2012,129000,171,1,7000
"Lexus","LS 460 L",2014,106731,360,1,30000
"Ford","Expedition Platinum",2019,34672,400,0,45500
"Chevrolet","Malibu LTZ",2010,55900,252,0,8950
"Audi","RS 7 4.0T quattro",2023,3158,NA,0,128900
"Audi","A5 2.0T Premium Plus",2015,82000,220,0,17000
"Genesis","G70 2.0T",2023,4785,NA,0,42850
"Chevrolet","Trailblazer LS",2021,20497,NA,0,22999
"Scion","tC Base",2013,177600,180,1,7100
"Lincoln","MKZ Hybrid Base",2014,78568,188,0,15500
"Ford","Transit-350 XL",2018,95000,275,0,43000
"Porsche","911 GT2 RS",2018,4529,NA,0,417500
"Ford","Explorer Timberline",2021,25240,NA,1,39951
"Volvo","XC90 3.2",2011,88300,235,1,11500
"Chevrolet","Avalanche LTZ",2013,98000,320,1,27499
"Audi","TT RS 2.5T",2018,20675,400,0,76000
"Lincoln","Navigator L",2008,95000,300,0,10900
"Hyundai","Elantra GLS",2010,107000,138,1,6250
"Audi","SQ5 3.0T Premium Plus",2016,60000,354,1,24700
"Mitsubishi","Lancer Evolution GSR",2012,33000,291,0,34999
"Tesla","Model Y Performance",2023,500,455,0,60000
"Mercedes-Benz","Maybach S S 600",2016,108500,523,0,63500
"Nissan","GT-R Premium",2017,37800,565,0,149500
"Mercedes-Benz","GLS 550 Base 4MATIC",2018,74422,NA,0,44798
"Chevrolet","Blazer Premier",2019,55621,NA,0,34562
"Mazda","CX-9 Grand Touring",2021,46707,NA,1,32541
"Ford","Expedition Max Limited",2022,26500,440,0,65900
"Nissan","Titan XD SV",2020,10001,NA,0,47214
"Lexus","LX 570 Three-Row",2019,19050,383,0,76900
"Chevrolet","Traverse Premier",2020,52000,310,0,35800
"Mercedes-Benz","Sprinter High Roof",2014,65000,188,1,54999
"BMW","X5 3.0i",2004,140000,225,0,6730
"Ford","Fusion SE",2018,75600,181,1,14950
"Lincoln","MKZ Base",2015,117292,240,0,12000
"Ford","GT",2005,1897,NA,0,429998
"Genesis","G90 5.0 Ultimate",2017,26000,420,0,33600
"Lexus","LC 500 Base",2022,2071,NA,0,99950
"Ford","Shelby GT500 Base",2014,15629,NA,0,61900
"Saturn","Sky Base",2008,15020,173,0,18500
"Audi","RS Q8 4.0T quattro",2022,11322,NA,0,119900
"Toyota","Land Cruiser",2016,50361,NA,0,65998
"Mercedes-Benz","SL-Class SL 550",2013,115000,429,1,36000
"Porsche","911 Carrera C2S",2005,28500,355,0,63500
"Mercedes-Benz","AMG GLA 45 Base 4MATIC",2018,51700,375,0,32000
"Ford","Taurus X Limited",2008,148949,263,0,3900
"BMW","440 Gran Coupe i",2018,39300,320,1,31750
"Honda","S2000 CR",2008,82323,237,0,28500
"Acura","Integra w/A-Spec Tech Package",2023,3574,NA,0,34998
"Ford","Excursion Limited",2001,109357,310,0,12749
"Mercedes-Benz","SL-Class SL500 Roadster",2004,46000,302,0,18853
"Mercedes-Benz","CLS-Class CLS 550",2007,123112,382,1,104999
"INFINITI","G35 Sport",2007,37100,306,0,16900
"Volkswagen","Golf GTI 2.0T S 4-Door",2016,89000,210,0,14500
"Dodge","Challenger R/T Scat Pack",2022,1240,NA,0,53900
"Lincoln","Navigator L Reserve",2019,67073,450,1,47999
"Maserati","Ghibli S Q4",2015,28700,404,NA,24900
"Tesla","Model X Base",2023,8200,670,0,93999
"Mercedes-Benz","AMG G 63 Base",2018,41000,563,0,108900
"Ford","Expedition Limited",2018,98995,NA,0,34998
"Volkswagen","Routan SE",2012,123815,283,0,5000
"Bugatti","Veyron 16.4 Grand Sport",2011,6330,NA,0,1950995
"Toyota","Highlander XLE",2020,61341,NA,1,34084
"Honda","Civic LX",2016,96473,NA,0,15599
"Jeep","Wrangler Unlimited Sahara",2017,66107,NA,0,31331
"Land","Rover Range Rover Supercharged",2008,114287,400,0,9900
"Acura","ILX 2.0L w/Premium Package",2015,75000,150,0,14500
"BMW","M6 Base",2016,45800,560,NA,36800
"Polestar","2 Launch Edition",2021,12172,NA,0,35999
"BMW","X6 sDrive35i",2016,70582,300,1,35000
"Porsche","Cayman S",2014,33088,325,0,49750
"Lincoln","Corsair Grand Touring",2021,1850,266,0,49000
"Cadillac","DTS Luxury II",2008,94155,275,0,10500
"Cadillac","ATS 3.6L Luxury",2016,25000,335,0,17999
"GMC","Sierra 1500 SLT",2016,99500,355,0,27995
"INFINITI","G37 x",2009,158564,328,0,8750
"Ford","Transit-350 XLT",2023,20000,310,0,78499
"Cadillac","XTS Luxury",2018,46711,304,1,20850
"Nissan","NV Passenger NV3500 HD SL V8",2017,46496,375,0,41000
"Mercedes-Benz","GLS 450 Base 4MATIC",2019,19800,362,0,53800
"Toyota","Land Cruiser Base",2008,175000,381,1,37900
"Toyota","Land Cruiser Base",2016,61500,381,0,63500
"RAM","ProMaster 2500 Window Van High Roof",2016,49750,280,0,65000
"Lamborghini","Gallardo Base",2007,38800,493,0,100000
"Lincoln","MKZ Base",2011,83765,263,0,8995
"Mercedes-Benz","EQS 450 4MATIC",2023,7388,355,0,105500
"Lamborghini","Huracan Tecnica Coupe",2023,278,NA,0,359991
"Alfa","Romeo Giulia Quadrifoglio",2022,1966,NA,0,75900
"Chevrolet","Trailblazer LT",2021,50648,NA,0,23995
"Toyota","Land Cruiser Base",1993,231500,NA,0,29500
"Lamborghini","Urus Base",2021,13692,641,0,257000
"INFINITI","G37 x",2013,60058,328,1,15000
"Maserati","Levante S",2017,54423,424,0,33950
"Toyota","Highlander Limited",2022,24001,NA,0,47498
"Nissan","Armada SL",2022,14735,NA,0,50998
"Audi","Q5 Premium",2023,2425,NA,0,42998
"Ford","Shelby GT500 Base",2022,2050,760,0,94999
"Lincoln","Navigator L Reserve",2019,64855,450,0,46995
"Mercedes-Benz","EQS 450+ Base",2022,16238,329,0,62479
"RAM","1500 Laramie",2022,18051,NA,0,47995
"Lincoln","Town Car Base",2004,36524,239,0,14900
"Acura","TLX w/A-Spec Package",2022,14896,NA,0,39998
"Toyota","Camry Hybrid LE",2022,14048,NA,0,29999
"Honda","CR-V EX",2003,224000,160,0,3900
"Mercedes-Benz","E-Class E 550",2014,80581,402,0,26000
"Mazda","MX-5 Miata Grand Touring",2007,81400,166,1,11000
"Porsche","718 Boxster Base",2019,6700,300,0,63000
"Ford","Transit-350 XLT",2015,143000,275,0,22500
"Kia","Sportage SX Turbo",2017,87842,NA,0,18688
"INFINITI","G37 S Sport",2010,116451,328,0,16500
"Nissan","Titan XD S",2019,53677,390,0,27900
"Audi","S7 2.9T Prestige",2021,12000,444,0,77500
"Land","Rover Discovery HSE",2019,20034,NA,0,43998
"Ford","Transit-350 XLT",2020,32000,210,0,68000
"INFINITI","Q70 3.7",2014,70312,330,0,19995
"Jeep","Gladiator Rubicon",2022,8794,285,0,54000
"Lincoln","MKX Base",2010,156000,265,1,5900
"Porsche","911 Carrera 4S",2020,25568,NA,0,134999
"Mercedes-Benz","AMG C 43 Base 4MATIC",2018,67100,362,1,34250
"Porsche","Cayman Base",2014,52000,275,1,37000
"Acura","MDX 3.7L Advance",2011,137200,300,0,12000
"Volkswagen","Golf R 4-Door w/DCC & Navigation",2018,36000,292,1,32000
"Kia","Forte GT-Line",2023,15500,147,1,24500
"BMW","M8 Competition",2020,10906,NA,0,96998
"Lincoln","MKC Select",2019,49814,NA,0,26545
"BMW","i8 Base",2015,846,357,0,86999
"Toyota","Highlander XLE",2021,67039,NA,0,34645
"Mazda","CX-30 Premium Package",2023,2636,NA,0,28535
"Porsche","Cayenne Platinum Edition",2018,50166,NA,1,43550
"Lincoln","MKZ Reserve",2017,37375,400,0,27500
"Tesla","Model 3 Standard Range Plus",2021,21600,271,0,31000
"Porsche","718 Cayman S",2019,9500,350,1,69000
"Chevrolet","Corvette Base",2005,143095,400,0,16000
"Acura","RSX Type S",2002,80000,200,1,8500
