"Brand","Model","Model_year","Mileage","Horsepower","Accident","Price"
"Ford","Utility Police Interceptor Base",2013,51000,300,1,10300
"INFINITI","Q50 Hybrid Sport",2015,88900,354,0,15500
"Audi","S3 2.0T Premium Plus",2017,84000,292,0,31000
"BMW","740 iL",2001,242000,282,0,7300
"Lexus","RC 350 F Sport",2021,23436,311,0,41927
"Tesla","Model X Long Range Plus",2020,34000,534,0,69950
"Aston","Martin DBS Superleggera",2019,22770,715,0,184606
"Toyota","Supra 3.0 Premium",2021,12500,382,0,53500
"Lincoln","Aviator Reserve AWD",2022,18196,400,0,62000
"Land","Rover LR4 HSE",2013,79800,375,0,29990
"Dodge","Challenger SXT",2013,61074,305,0,16800
"Nissan","350Z Enthusiast",2003,74000,287,0,11000
"Jaguar","F-TYPE R",2018,35250,550,0,68750
"Chevrolet","S-10 LS",2000,133510,120,0,4500
"Chevrolet","Suburban RST",2021,52000,355,0,61000
"Hyundai","Elantra N Base",2022,11650,276,0,32300
"Mercedes-Benz","AMG CLA 45 Base 4MATIC",2021,17500,382,0,59995
"BMW","650 Gran Coupe i xDrive",2015,69000,445,0,25700
"Mercedes-Benz","AMG C 43 Base 4MATIC",2018,28800,362,0,48000
"Dodge","Ram 1500 Laramie Mega Cab",2006,300183,345,1,10900
"Kia","Sorento SX",2011,171000,276,0,5999
"Lexus","LX 570 Base",2016,118700,383,0,46900
"Jeep","New Compass Trailhawk",2017,119000,180,0,15900
"Audi","A4 2.0T Premium Plus quattro",2012,125575,211,0,8999
"Hyundai","Tucson SE",2007,16200,173,0,8200
"BMW","Z4 sDrive28i",2014,70000,240,1,20000
"Bentley","Continental GTC Base",2011,20200,552,0,79950
"Lucid","Air Grand Touring",2022,3552,536,0,119999
"Audi","A7 Premium",2012,54000,310,1,36880
"MINI","Convertible John Cooper Works",2017,24280,228,1,29000
"Toyota","Avalon Touring",2016,89148,268,0,17500
"Porsche","Cayenne Platinum Edition",2017,73043,300,0,30990
"Mercedes-Benz","AMG C 63 S",2017,60000,503,1,52500
"Hummer","H2 Base",2005,110900,325,0,19500
"Porsche","911 Carrera S",2013,39000,400,0,73000
"Mercedes-Benz","CLA-Class CLA 250",2016,120000,208,0,19800
"Chrysler","300 Touring",2009,134602,250,0,7500
"Audi","A3 2.0T",2010,83500,200,0,6500
"Ford","Mustang GT Premium",2014,37060,420,0,28500
"Acura","RL Technology",2010,97700,300,0,10995
"Volvo","XC90 Hybrid T8 R-Design",2018,40000,400,0,42000
"Mercedes-Benz","GLK-Class GLK 350",2014,186000,302,1,10000
"Lexus","IS 350 Base",2014,104000,306,0,21000
"BMW","X4 M40i",2023,8500,382,0,67900
"Cadillac","CT5 Premium Luxury",2023,6090,237,0,46900
"Lucid","Air Grand Touring",2022,4900,536,0,99000
"Audi","A5 2.0T Premium Plus",2019,47523,248,0,31000
"Chrysler","300C SRT8",2006,43000,425,1,19995
"Bentley","Continental GT W12",2017,14684,582,0,130000
"BMW","M4 Base",2019,57800,425,0,55999
"Toyota","GR Corolla Circuit Edition",2023,952,300,0,49950
"Audi","RS 5 2.9T",2019,21240,444,1,59950
"Porsche","Cayenne Base",2019,59338,335,0,42499
"Maserati","Quattroporte S",2019,23230,424,0,44999
"Jaguar","XF 35t R-Sport",2017,48000,340,1,30000
"Lexus","ES 330 Base",2005,41059,225,0,11100
"Porsche","Cayman GTS",2015,11500,340,0,72000
"Genesis","G90 3.3T Premium",2021,9950,365,0,53950
"Volkswagen","Golf R 20th Anniversary Edition",2023,633,315,0,47999
"Hyundai","Sonata Hybrid Limited",2015,66000,199,1,15900
"Audi","RS 7 4.0T Prestige",2014,59715,560,1,45000
"BMW","740 Li",2012,85252,326,0,18500
"Mercedes-Benz","GLS 450 Base 4MATIC",2020,17900,362,1,80000
"BMW","M6 Base",2016,25500,560,0,55000
"Hyundai","Elantra N Base",2023,3800,276,0,34000
"Rivian","R1S Adventure Package",2023,2800,835,0,92000
"Mercedes-Benz","SLC 300 Base",2018,33000,241,1,29900
"BMW","435 Gran Coupe i",2016,76009,300,0,24950
"Lexus","RC 350 Base",2015,48000,306,0,32900
"BMW","525 i",2005,91420,215,0,8900
"Toyota","Corolla LE",2003,124756,130,1,4995
"GMC","Acadia SLT-1",2012,116226,288,0,7900
"BMW","i8 Base",2019,41500,369,0,86000
"Lexus","ES 300h Base",2013,87001,200,0,17995
"Chevrolet","Express 1500 Work Van",2014,139804,195,1,14500
"Jeep","Gladiator Rubicon",2022,27300,285,0,47500
"BMW","Z4 sDrive28i",2014,36812,240,0,27000
"Land","Rover LR4 HSE LUX Landmark Edition",2016,144000,340,1,18000
"Cadillac","XT4 Sport",2019,44500,237,0,28900
"Bentley","Arnage R",2005,8332,400,0,47350
"Mercedes-Benz","AMG GL AMG GL 63 4MATIC",2016,69000,550,0,36500
"Ford","Utility Police Interceptor Base",2013,105000,300,1,6600
"Audi","A5 2.0T Premium",2011,92203,211,0,9995
"Nissan","GT-R Premium",2010,15600,485,0,69500
"Toyota","Corolla LE",2010,72348,132,1,9995
